State,AverageWage
MICHIGAN,65495.26
TEXAS,70973.50
NEW JERSEY,71640.20
COLORADO,71908.61
FLORIDA,71399.56
CALIFORNIA,74699.26
PENNSYLVANIA,72054.98
MASSACHUSETTS,72087.23
VIRGINIA,75177.40
WISCONSIN,73433.51
ILLINOIS,74383.50
DISTRICT OF COLUMBIA,70052.96
NORTH CAROLINA,72316.13
RHODE ISLAND,73458.02
OHIO,72187.96
GEORGIA,71573.12
NEW YORK,71745.01
WASHINGTON,75721.28
INDIANA,72372.39
MARYLAND,70000.38
MISSOURI,80236.10
NEVADA,76045.94
NEW HAMPSHIRE,72533.65
MINNESOTA,72620.48
SOUTH CAROLINA,70998.11
ARIZONA,73753.92
TENNESSEE,72011.77
MISSISSIPPI,72421.72
HAWAII,70519.40
UTAH,72164.01
DELAWARE,93842.95
NA,75674.11
KANSAS,72187.68
CONNECTICUT,72242.15
MAINE,78883.98
NEBRASKA,73256.59
OKLAHOMA,70614.62
ARKANSAS,71971.48
KENTUCKY,73442.19
PUERTO RICO,69661.83
ALASKA,72859.99
IOWA,72708.67
OREGON,74245.89
WYOMING,75915.50
LOUISIANA,71127.37
NEW MEXICO,73386.77
WEST VIRGINIA,76875.89
SOUTH DAKOTA,71024.30
NORTH DAKOTA,76328.09
ALABAMA,72080.01
VERMONT,70982.15
IDAHO,71942.98
MONTANA,68905.68
